date,ga_organic_pageviews,ga_organic_sessions,gsc_www_clicks,pageviews_per_gsc_click,sessions_per_gsc_click
20260201,5608,3036,1672,3.354,1.816
20260202,6276,3381,2264,2.772,1.493
20260203,6608,3618,2339,2.825,1.547
20260204,7144,3815,2262,3.158,1.687
20260205,6836,3687,2224,3.074,1.658
20260206,5875,3166,1944,3.022,1.629
20260207,5231,2746,1455,3.595,1.887
20260208,4981,2713,1578,3.157,1.719
20260209,5047,3048,1956,2.58,1.558
20260210,5678,3663,2183,2.601,1.678
20260211,5728,3517,2128,2.692,1.653
20260212,5184,3252,1983,2.614,1.64
20260213,4464,2825,1722,2.592,1.641
20260214,3610,2335,1275,2.831,1.831
20260215,3788,2478,1398,2.71,1.773
20260216,2967,2625,1874,1.583,1.401
20260217,3987,3082,1915,2.082,1.609
20260218,4933,3211,1887,2.614,1.702
20260219,2924,2113,1732,1.688,1.22
20260220,2080,1775,1553,1.339,1.143
20260221,1557,1288,1153,1.35,1.117
20260222,1803,1386,1416,1.273,0.979
20260223,2155,1778,1836,1.174,0.968
20260224,2422,1900,1937,1.25,0.981
20260225,2474,2036,1988,1.244,1.024
20260226,2213,1782,1866,1.186,0.955
20260227,2373,1980,1875,1.266,1.056
20260228,1866,1589,1436,1.299,1.107
20260301,1954,1517,1344,1.454,1.129
20260302,2271,1840,1695,1.34,1.086
20260303,2453,1966,1594,1.539,1.233
20260304,2542,2096,1630,1.56,1.286
20260305,2128,1726,1462,1.456,1.181
20260306,1738,1468,1342,1.295,1.094
20260307,1659,1352,1077,1.54,1.255
20260308,1593,1316,1087,1.466,1.211
20260309,1858,1445,1408,1.32,1.026
20260310,2209,1811,1643,1.344,1.102
20260311,2319,1878,1577,1.471,1.191
20260312,1908,1597,1272,1.5,1.256
20260313,1821,1511,1148,1.586,1.316
20260314,1403,1103,965,1.454,1.143
20260315,1314,1035,857,1.533,1.208
20260316,1644,1315,1253,1.312,1.049
20260317,1719,1393,1246,1.38,1.118
20260318,1752,1353,1208,1.45,1.12
20260319,1612,1313,1239,1.301,1.06
20260320,1406,1174,1120,1.255,1.048
20260321,1177,942,921,1.278,1.023
20260322,964,752,963,1.001,0.781
20260323,1741,1431,1342,1.297,1.066
20260324,1747,1397,1395,1.252,1.001
20260325,2260,1788,1502,1.505,1.19
20260326,1875,1475,1382,1.357,1.067
20260327,2434,1824,1293,1.882,1.411
20260328,1810,1479,989,1.83,1.495
20260329,1958,1526,986,1.986,1.548
20260330,1964,1526,1480,1.327,1.031
20260331,2030,1618,1651,1.23,0.98
