page,ga_google_organic_landing_sessions_feb,ga_google_organic_landing_sessions_mar,ga_landing_delta_pct,ga_google_organic_pageviews_feb,ga_google_organic_pageviews_mar,ga_pageviews_delta_pct,gsc_clicks_feb,gsc_clicks_mar,gsc_delta_pct,pageviews_minus_gsc_delta_pct,landing_minus_pageviews_delta_pct
/epargne/livret-a-plafond,1944,1268,-34.8,2523,1330,-47.3,1868,2276,21.8,-69.1,12.5
/epargne/combien-avoir-de-cote-a-50-ans,970,483,-50.2,1182,501,-57.6,1200,1312,9.3,-66.9,7.4
/assurance-vie/perte-argent,978,599,-38.8,1196,626,-47.7,1140,1237,8.5,-56.2,8.9
/gestion-de-patrimoine/donation-100000-euros,865,533,-38.4,1072,566,-47.2,611,624,2.1,-49.3,8.8
/epargne/epargne-moyenne-des-francais,2407,1560,-35.2,3245,1645,-49.3,2327,2269,-2.5,-46.8,14.1
/gestion-de-patrimoine/meilleurs-cabinets,632,427,-32.4,878,451,-48.6,570,522,-8.4,-40.2,16.2
/outils/calculatrice-interet-compose,1510,761,-49.6,2064,860,-58.3,786,631,-19.7,-38.6,8.7
/bourse/sp-500,543,361,-33.5,722,381,-47.2,538,487,-9.5,-37.7,13.7
/produits/assurance-vie,1594,1023,-35.8,3702,1869,-49.5,766,648,-15.4,-34.1,13.7
/pea/retrait,2052,804,-60.8,2679,846,-68.4,1830,1187,-35.1,-33.3,7.6
/,12423,9941,-20.0,20418,11619,-43.1,7379,6610,-10.4,-32.7,23.1
/epargne/investir-100000-euros,1306,523,-60.0,1657,557,-66.4,1388,896,-35.4,-31.0,6.4
/pea/succession,679,293,-56.8,876,317,-63.8,592,376,-36.5,-27.3,7.0
/pea/etf,4058,1910,-52.9,5722,2094,-63.4,3092,1947,-37.0,-26.4,10.5
/outils/simulateur-droit-succession,1287,565,-56.1,1906,684,-64.1,927,575,-38.0,-26.1,8.0
/gestion-de-patrimoine/flat-tax,1743,817,-53.1,2255,854,-62.1,1287,820,-36.3,-25.8,9.0
/epargne/compte-a-terme,1429,685,-52.1,1822,729,-60.0,1235,807,-34.7,-25.3,7.9
/bourse/msci-world,568,308,-45.8,753,332,-55.9,525,360,-31.4,-24.5,10.1
/pea/frais,493,177,-64.1,622,185,-70.3,525,268,-49.0,-21.3,6.2
/assurance-vie/retrait-assurance-vie-8-ans,1677,857,-48.9,2093,907,-56.7,848,548,-35.4,-21.3,7.8
/bourse/meilleur-etf,2269,1016,-55.2,3490,1219,-65.1,1825,981,-46.2,-18.9,9.9
/crypto/meilleure-plateforme,1860,335,-82.0,2735,359,-86.9,1842,453,-75.4,-11.5,4.9
/gestion-de-patrimoine/meilleur-placement-senior,895,127,-85.8,1133,127,-88.8,730,88,-87.9,-0.9,3.0
